train_losses_double,test_losses_double,test_accuracies_double
2.4401076386478158,2.0062320634817623,0.278
1.7825074766490505,1.480171196020333,0.5228
1.2873447627655223,1.0763611440445966,0.6636
0.9463731957905328,0.8103812044593179,0.7546
0.7269409813288686,0.6352735824266057,0.8084
0.5885478147247961,0.5287843040979592,0.84
0.4974705264099371,0.4571817783033772,0.8617
0.4337575304260386,0.407500341914262,0.8745
0.3848291833851256,0.3676298920326172,0.888
0.34556073334806764,0.3378779029200791,0.896
0.312237658456508,0.3108147781365996,0.9048
0.2842800663049414,0.2897814726990879,0.9112
0.2597487720329243,0.27211610555269156,0.9162
